profile,sample,grain_number,distance,distance_to_fault,depth,U,Th,sphere_radius,AHe_age_uncorr,AHe_age_uncorr_2se,AHe_age_corr,AHe_age_corr_2se,
1,MRP-424,MRP-424_y,-100,-100,197,38.7,63.0,52.91,0.67,0.04,0.94,0.04,
1,MRP-424,MRP-424_z,-100,-100,197,29.8,60.7,52.76,0.45,0.04,0.63,0.04,
1,MRP-424,MRP-424_t,-100,-100,197,29.8,68.3,49.4,0.42,0.04,0.61,0.04,
1,MRP-424,MRP-424_v,-100,-100,197,41.2,58.9,52.9,0.79,0.06,1.1,0.06,
1,MRP-425,MRP-425_z,-100,-100,333,43.6,72.5,46.03,0.85,0.06,1.27,0.06,
1,MRP-425,MRP-425_t,-100,-100,333,39.0,63.8,42.29,0.35,0.06,0.54,0.06,
1,MRP-425,MRP-425_v,-100,-100,333,21.2,42.9,40.47,0.35,0.08,0.55,0.08,
1,MRP-426,MRP-426_x,-100,-100,497,16.2,12.0,75.33,0.31,0.02,0.39,0.02,
1,MRP-426,MRP-426_y,-100,-100,497,21.6,12.0,64.51,0.38,0.04,0.49,0.04,
1,MRP-426,MRP-426_z,-100,-100,497,14.3,7.9,47.83,0.4,0.08,0.58,0.08,
1,MRP-426,MRP-426_v,-100,-100,497,20.7,16.8,44.29,0.45,0.08,0.68,0.08,
