profile,distance,distance_to_fault,sample,grain_number,U,Th,sphere_radius,AHe_age_uncorr,AHe_age_uncorr_2se,AHe_age_corr,AHe_age_corr_2se
2,5007,7,B-5 a1,9012,6.519635941,18.95743842,72.74613392,10.02271451,1.0277331,10.02271451,1.0277331
2,5007,7,B-5 a2,9013,6.315163818,30.16347085,67.5499815,11.29882478,1.50343829,11.29882478,1.50343829
2,5007,7,B-5 a3,9014,2.153827967,7.542317943,90.48290828,8.67758097,2.228455891,8.67758097,2.228455891
2,5007,7,B-5 a4,9015,4.928552436,15.73137885,67.94468476,14.06478533,1.620753865,14.06478533,1.620753865
2,4980,-20,B-8 a1,8965,7.879959428,21.70401519,73.96949568,7.879395818,0.925324809,7.879395818,0.925324809
2,4980,-20,B-8 a2,8966,7.428818009,21.86624872,57.15309735,9.384952233,1.589534484,9.384952233,1.589534484
2,4980,-20,B-8 a3,8967,4.693332486,13.96345765,73.65366805,5.333781953,0.863675209,5.333781953,0.863675209
2,4980,-20,B-8 a4,8968,5.762011148,18.08536491,59.08422031,7.673625218,1.048255892,7.673625218,1.048255892
2,4983,-17,B-9 a1,8961,8.639052716,24.94825384,72.63515583,3.287878361,0.647275442,3.287878361,0.647275442
2,4983,-17,B-9 a2,8962,5.778088121,17.00466396,74.82459489,4.760689567,0.661181255,4.760689567,0.661181255
2,4983,-17,B-9 a3,8963,4.837493643,14.67787453,63.45212759,8.028817584,1.091462436,8.028817584,1.091462436
2,4983,-17,B-9 a4,8964,5.769784105,14.59573692,45.74280531,8.73322334,1.792302321,8.73322334,1.792302321
2,4985,-15,B-10 a1,9076,4.947699657,15.23445108,61.9164939,8.234505909,1.220146052,8.234505909,1.220146052
2,4985,-15,B-10 a2,9077,4.617722202,14.79860072,92.2317055,8.350117238,1.157331342,8.350117238,1.157331342
2,4985,-15,B-10 a3,9078,4.0907151,20.68846676,89.78098263,8.683170123,0.754765336,8.683170123,0.754765336
2,4985,-15,B-10 a4,9079,5.55140293,20.81879158,57.2144539,9.079960357,1.386502071,9.079960357,1.386502071
1,4990,-10,B-11 a1,9080,4.204556927,11.68663828,76.16912932,10.100233,1.279169644,10.100233,1.279169644
1,4990,-10,B-11 a2,9081,7.794400971,18.45534932,83.58498359,10.27575564,1.251997811,10.27575564,1.251997811
1,4990,-10,B-11 a3,9082,8.447755098,20.79800464,75.33154194,8.224934101,1.351163131,8.224934101,1.351163131
1,4990,-10,B-11 a4,9083,7.076785443,18.50455621,106.5216457,9.719904599,0.934133014,9.719904599,0.934133014
2,5004,4,B-13 a1,8957,7.117995358,17.92669716,67.74358831,8.575031249,1.391250073,8.575031249,1.391250073
2,5004,4,B-13 a2,8958,5.84976062,18.67729959,61.51173225,10.1837035,1.419887065,10.1837035,1.419887065
2,5004,4,B-13 a3,8959,3.49667,8.008998194,49.14845996,7.407260611,1.96737699,7.407260611,1.96737699
2,5004,4,B-13 a4,8960,5.835437197,17.85589214,38.44761123,1.902966424,0.526277302,1.902966424,0.526277302
3,4944,-56,B-1 a1,8876,3.488329771,13.69017763,39.45499379,9.591146056,3.100102793,9.591146056,3.100102793
3,4944,-56,B-1 a2,8906,1.471581745,4.295493287,40.90918897,14.72329994,5.166674955,14.72329994,5.166674955
3,4944,-56,B-1 a3,8907,3.95534273,12.33132758,52.71743762,11.68220002,2.430131791,11.68220002,2.430131791
3,4944,-56,B-1 a4,8908,3.038112209,9.047313425,56.70604133,10.55097389,2.034222256,10.55097389,2.034222256
3,4944,-56,B-1 a5,8909,5.317797359,16.37654955,68.64914963,14.58066049,1.796885617,14.58066049,1.796885617
2,5044,44,B-14 a1,9100,7.913053601,27.64648552,84.85963134,12.05742323,1.34539466,12.05742323,1.34539466
2,5044,44,B-14 a2,9101,6.226155459,21.71990838,103.3854504,10.09912028,1.07194602,10.09912028,1.07194602
2,5044,44,B-14 a3,9102,3.778583528,21.6189309,70.83697771,13.38513377,1.780358963,13.38513377,1.780358963
2,5044,44,B-14 a4,9103,2.858731068,8.984117115,80.11558763,13.5692745,1.86929006,13.5692745,1.86929006
3,4962,-38,B-2 a1,9104,4.267653054,17.47948787,94.91665958,4.443819546,0.582930743,4.443819546,0.582930743
3,4962,-38,B-2 a2,9105,2.910274683,8.564662067,106.4784246,9.035414287,1.069651528,9.035414287,1.069651528
3,4962,-38,B-2 a3,9106,7.727298412,63.08809706,104.1269723,7.70810509,0.681134599,7.70810509,0.681134599
3,4962,-38,B-2 a4,9107,4.689140867,14.74313146,81.72790817,8.389172542,1.235671535,8.389172542,1.235671535
3,4758,-242,B-17 a1,9424,2.63444166,10.8633978,47.71561336,8.931461082,2.362740027,8.931461082,2.362740027
3,4758,-242,B-17 a2,9425,2.096915102,8.077368577,50.86303669,15.78381785,4.171495116,15.78381785,4.171495116
3,4758,-242,B-17 a3,9426,1.682109374,6.173854659,36.59204007,17.0709494,7.618770983,17.0709494,7.618770983
3,4758,-242,B-17 a4,9427,1.114942516,3.34100674,49.49789876,14.69343882,11.07187572,14.69343882,11.07187572
3,4985,-15,B-3 a1,9375,6.761003878,30.90471566,59.68815295,7.61260667,1.013194362,7.61260667,1.013194362
3,4985,-15,B-3 a2,9376,2.931685767,9.448244553,89.9601897,6.765958389,0.888484141,6.765958389,0.888484141
3,4985,-15,B-3 a3,9377,3.600503808,10.19047845,71.6131442,8.362854967,1.186714085,8.362854967,1.186714085
3,4985,-15,B-3 a4,9378,2.722265794,8.12391942,78.02446113,8.60831081,1.461151773,8.60831081,1.461151773
1,5008,8,B-12 a1,9408,2.285748273,9.217443879,51.187186,12.24575015,3.035850109,12.24575015,3.035850109
1,5008,8,B-12 a2,9409,1.574083827,4.604248035,67.60667097,6.174672343,1.833026791,6.174672343,1.833026791
1,5008,8,B-12 a3,9410,2.493515402,8.799827708,45.79211206,10.4457809,2.925814508,10.4457809,2.925814508
1,5008,8,B-12 a4,9411,1.313709152,4.580082468,41.02391444,8.333477056,4.337279505,8.333477056,4.337279505
1,4986,-14,B-16 a1,9416,16.91282381,9.787005397,46.85112019,11.28481508,3.159508971,11.28481508,3.159508971
1,4986,-14,B-16 a2,9417,44.61902965,5.950665221,41.0782264,11.87945485,7.136364,11.87945485,7.136364
1,4986,-14,B-16 a3,9418,7.994517716,13.14546558,59.03726312,11.23831346,1.802122596,11.23831346,1.802122596
1,4986,-14,B-16 a4,9419,12.14138494,12.52170874,61.05493825,8.812589115,1.58243774,8.812589115,1.58243774
1,4965,-35,B-6 a1,9420,2.278446713,6.788858663,46.66940611,10.3577732,3.123601025,10.3577732,3.123601025
1,4965,-35,B-6 a2,9421,2.848837487,8.856069383,46.81551032,11.72896613,2.980417795,11.72896613,2.980417795
1,4965,-35,B-6 a3,9422,1.220508056,3.684078226,47.01894882,7.627530872,3.758980511,7.627530872,3.758980511
1,4965,-35,B-6 a4,9423,2.179162853,6.272268964,52.35922109,12.45399811,3.800864403,12.45399811,3.800864403
1,4981,-19,B-7 a1,9428,2.945105841,9.301571127,55.94203508,10.68218524,1.986277764,10.68218524,1.986277764
1,4981,-19,B-7 a2,9429,1.485614898,4.795646655,51.57356285,12.13457437,4.699798217,12.13457437,4.699798217
1,4981,-19,B-7 a3,9430,2.65034226,8.580518222,61.32769601,9.950384612,1.80726711,9.950384612,1.80726711
1,4981,-19,B-7 a4,9431,1.419612258,4.168070353,38.29874338,12.76943398,5.958292889,12.76943398,5.958292889
